,geometry
309,POINT (74.6513 34.3235)
310,POINT (74.8554 33.2529)
311,POINT (75.8086 33.1814)
312,POINT (74.3931 34.5454)
313,POINT (74.6801 34.2479)
314,POINT (74.3646 34.3696)
315,POINT (75.7735 33.128)
316,POINT (74.5318 34.1397)
317,POINT (75.4331 32.9167)
318,POINT (75.2019 33.6487)
319,POINT (75.6164 33.4273)
320,POINT (75.0015 33.8138)
321,POINT (75.044 33.8508)
322,POINT (74.861 33.3095)
323,POINT (74.728 34.2304)
324,POINT (75.7395 32.5427)
325,POINT (74.2809 34.4317)
326,POINT (75.2726 33.8587)
327,POINT (74.3813 34.4973)
328,POINT (75.2218 33.6858)
329,POINT (75.6469 32.5365)
330,POINT (74.9652 33.7047)
331,POINT (74.548 34.2186)
332,POINT (74.6961 34.0732)
333,POINT (74.1444 33.5988)
334,POINT (75.4735 33.0582)
335,POINT (75.5525 32.7239)
336,POINT (74.3621 33.536)
337,POINT (74.6636 34.0352)
338,POINT (74.6379 34.1701)
339,POINT (74.9275 33.6842)
340,POINT (74.6435 34.0809)
341,POINT (74.5349 33.9769)
342,POINT (74.8586 33.6202)
343,POINT (74.5961 33.1004)
344,POINT (75.0899 34.2582)
345,POINT (75.6661 33.131)
346,POINT (75.3348 33.155)
347,POINT (74.7238 34.1741)
348,POINT (73.8566 34.3955)
349,POINT (75.6511 32.572)
350,POINT (74.8061 33.9339)
351,POINT (74.2171 33.7203)
352,POINT (74.607 34.2574)
353,POINT (76.193 34.5127)
354,POINT (74.2556 33.4734)
355,POINT (74.8613 33.7877)
356,POINT (75.333 32.8463)
357,POINT (75.0335 33.6887)
358,POINT (76.1715 33.2684)
359,POINT (74.7219 33.3956)
360,POINT (75.2202 32.8073)
361,POINT (75.2452 32.9079)
362,POINT (74.5406 33.1802)
363,POINT (75.8364 32.6251)
364,POINT (74.1162 34.5012)
365,POINT (75.6599 32.7062)
366,POINT (75.2883 32.6643)
367,POINT (74.8428 33.7376)
368,POINT (75.3598 33.0224)
369,POINT (75.0133 34.2207)
370,POINT (74.8195 33.1818)
371,POINT (75.2873 33.6977)
372,POINT (75.2337 33.6264)
373,POINT (75.1626 33.7956)
374,POINT (74.188 34.1502)
375,POINT (75.4195 33.12)
376,POINT (74.949 33.8776)
377,POINT (74.3269 33.833)
378,POINT (75.4263 33.16)
379,POINT (75.4204 32.505)
380,POINT (74.6867 33.942)
381,POINT (75.3061 32.8772)
382,POINT (74.5918 34.2872)
383,POINT (74.2626 34.4752)
384,POINT (74.7428 33.7719)
385,POINT (74.3427 34.3909)
386,POINT (74.5781 34.2714)
387,POINT (74.4211 34.3592)
